target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
codec,CHROME,VLC,*,macOS-13.0-arm64-arm-64bit,*,400,69.375,4.515597967047111,76.25,72.5,62.5,70.0,63.74999999999999,65.0,66.25,71.25,71.25,75.0
codec,FIREFOX,MPLAYER,*,macOS-13.0-arm64-arm-64bit,*,400,37.25,3.391164991562634,36.25,35.0,35.0,38.75,40.0,32.5,36.25,43.75,33.75,41.25
codec,FIREFOX,MPV,*,macOS-13.0-arm64-arm-64bit,*,400,26.25,6.937218462755804,36.25,23.75,10.0,25.0,31.25,26.25,31.25,20.0,30.0,28.749999999999996
codec,FIREFOX,VLC,*,macOS-13.0-arm64-arm-64bit,*,400,30.0,3.3541019662496847,25.0,37.5,28.749999999999996,26.25,30.0,27.500000000000004,32.5,30.0,31.25,31.25
codec,SAFARI,MPLAYER,*,macOS-13.0-arm64-arm-64bit,*,400,50.25,4.100304866714183,53.75,45.0,52.5,45.0,46.25,55.00000000000001,46.25,56.25,50.0,52.5
codec,SAFARI,MPV,*,macOS-13.0-arm64-arm-64bit,*,400,52.375,4.658661288396055,57.49999999999999,42.5,52.5,46.25,53.75,55.00000000000001,52.5,50.0,57.49999999999999,56.25
codec,SAFARI,VLC,*,macOS-13.0-arm64-arm-64bit,*,400,74.25,6.304760106459247,75.0,65.0,83.75,78.75,75.0,76.25,78.75,78.75,63.74999999999999,67.5
player,firefox,*,sample.3gp,Windows-10-10.0.19044-SP0,*,300,71.5,5.079916884709392,70.0,70.0,78.33333333333333,68.33333333333333,70.0,68.33333333333333,81.66666666666667,63.33333333333333,70.0,75.0
player,CHROME,*,sample.3gp,Windows-10-10.0.19044-SP0,*,300,53.833333333333336,6.6687496745808525,58.333333333333336,56.666666666666664,50.0,40.0,55.00000000000001,63.33333333333333,60.0,55.00000000000001,45.0,55.00000000000001
player,EDGE,*,sample.3gp,Windows-10-10.0.19044-SP0,*,300,79.66666666666667,5.3124591501697465,85.0,66.66666666666666,75.0,85.0,80.0,81.66666666666667,78.33333333333333,78.33333333333333,83.33333333333334,83.33333333333334
player,firefox,*,sample.flv,Windows-10-10.0.19044-SP0,*,300,72.16666666666667,5.325515102890151,75.0,75.0,61.66666666666667,71.66666666666667,65.0,70.0,78.33333333333333,76.66666666666667,70.0,78.33333333333333
player,CHROME,*,sample.flv,Windows-10-10.0.19044-SP0,*,300,75.0,2.981423969999721,76.66666666666667,75.0,73.33333333333333,71.66666666666667,75.0,81.66666666666667,75.0,76.66666666666667,75.0,70.0
player,EDGE,*,sample.flv,Windows-10-10.0.19044-SP0,*,300,79.66666666666666,4.396968652757638,76.66666666666667,90.0,75.0,76.66666666666667,76.66666666666667,80.0,85.0,80.0,76.66666666666667,80.0
player,firefox,*,sample.mkv,Windows-10-10.0.19044-SP0,*,300,73.83333333333334,5.05799696849784,73.33333333333333,78.33333333333333,76.66666666666667,75.0,81.66666666666667,65.0,65.0,73.33333333333333,73.33333333333333,76.66666666666667
player,CHROME,*,sample.mkv,Windows-10-10.0.19044-SP0,*,300,55.500000000000014,3.4999999999999973,51.66666666666667,58.333333333333336,51.66666666666667,51.66666666666667,56.666666666666664,53.333333333333336,56.666666666666664,63.33333333333333,56.666666666666664,55.00000000000001
player,EDGE,*,sample.mkv,Windows-10-10.0.19044-SP0,*,300,75.5,2.986078811194818,73.33333333333333,76.66666666666667,73.33333333333333,71.66666666666667,80.0,78.33333333333333,71.66666666666667,73.33333333333333,78.33333333333333,78.33333333333333
